"from_station,Acton Town,Aldgate,Aldgate East,Alperton,Amersham,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank,Barbican,Barking,Barkingside,Barons Court,Bayswater,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Bond Street,Borough,Boston Manor,Bounds Green,Bow Road,Brent Cross,Brixton,Bromley-By-Bow,Buckhurst Hill,Burnt Oak,Caledonian Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canons Park,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Chigwell,Chiswick Park,Chorleywood,Clapham Common,Clapham North,Clapham South,Cockfosters,Colindale,Colliers Wood,Covent Garden,Croxley,Dagenham East,Dagenham Heathway,Debden,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East Putney,Eastcote,Edgware,Edgware Road (B),Edgware Road (C),Elephant & Castle,Elm Park,Embankment,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finsbury Park,Fulham Broadway,Gants Hill,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Grange Hill,Great Portland Street,Green Park,Greenford,Gunnersbury,Hainault,Hammersmith,Hampstead,Hanger Lane,Harlesden,Harrow & Wealdston,Harrow-on-the-Hill,Hatton Cross,Heathrow Terminal 4,Heathrow Terminals 123,Hendon Central,High Barnet,High Street Kensington,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hyde Park Corner,Ickenham,Kennington,Kensal Green,Kensington (Olympia),Kentish Town,Kenton,Kew Gardens,Kilburn,Kilburn Park,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Latimer Road,Leicester Square,Leyton,Leytonstone,Liverpool Street,London Bridge,Loughton,Maida Vale,Manor House,Mansion House,Marble Arch,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Neasden,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Perivale,Picadilly Circus,Pimlico,Pinner,Plaistow,Preston Road,Putney Bridge,Queen's Park,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Royal Oak,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Sisters,Shepherd's Bush (C),Shepherd's Bush (H),Sloane Square,Snaresbrook,South Ealing,South Harrow,South Kensington,South Kenton,South Ruislip,South Wimbledon,South Woodford,Southfields,Southgate,Southwark,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stanmore,Stepney Green,Stockwell,Stonebridge Park,Stratford,Sudbury Hill,Sudbury Town,Swiss Cottage,Temple,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Hill,Tufnell Park,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Wanstead,Warren Street,Warwick Avenue,Waterloo,Watford,Wembley Central,Wembley Park,West Acton,West Brompton,West Finchley,West Ham,West Hampstead,West Harrow,West Kensington,West Ruislip,Westbourne Park,Westminster,White City,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Woodford,Woodside Park,All"
"Balham,1,19,20,0,0,15,3,0,0,43,0,246,21,0,0,7,2,0,3,24,12,47,0,86,38,0,0,2,0,1393,1,0,0,3,15,58,53,5,17,0,0,3,31,52,0,0,1,0,1190,494,1775,0,0,370,27,0,0,0,0,0,2,0,25,1,1,0,3,0,0,5,8,155,0,68,0,42,13,0,38,0,6,6,11,0,27,2,1,13,0,11,165,0,0,0,31,2,0,0,0,0,0,0,0,0,0,19,19,1,0,58,3,2,0,0,0,0,15,0,69,0,1,6,0,0,2,1,70,0,35,3,15,8,1,59,0,0,137,283,0,2,1,17,26,18,5,0,0,80,562,5,0,0,1,0,7,0,0,0,0,0,0,0,13,0,41,0,176,184,50,0,7,0,81,156,0,0,0,4,2,0,6,2,0,0,7,2,0,0,2,0,0,0,11,2,13,1,92,0,0,0,98,0,0,165,0,1,0,76,89,8,39,1,0,5,383,0,11,0,0,5,32,0,1459,2273,67,0,0,27,2,2,0,0,0,0,0,0,777,544,1,0,35,3,442,0,0,0,0,7,0,1,5,0,5,0,2,79,5,23,1,1,4,0,0,0,0,15774.0"
"Bank,2,1184,1263,0,0,936,59,1,17,337,43,0,1296,22,0,20,14,0,54,614,766,723,4,672,504,0,3,99,3,493,48,0,0,92,256,1516,1938,229,629,0,0,60,1710,604,0,0,2,0,88,70,41,0,2,3,465,0,0,1,0,2,5,1,71,5,12,21,8,0,1,42,62,896,0,796,0,740,339,0,2388,3,43,213,32,2,77,26,3,238,0,162,855,0,1,0,90,31,1,1,0,0,0,0,0,6,0,55,675,19,0,1752,15,77,0,0,0,0,75,0,195,3,2,102,0,1,15,11,2511,0,183,21,125,62,8,755,31,14,8566,7379,0,14,29,495,203,139,323,0,0,4999,4,89,1,1,6,0,265,0,0,1,0,0,0,0,72,0,2539,0,210,1845,389,0,21,0,783,155,0,20,0,11,15,0,48,5,0,1,69,7,0,0,15,0,0,0,335,87,76,4,266,2,1,0,285,0,0,1,3,3,1,1120,578,63,2421,3,0,285,136,1,716,0,0,42,368,0,12,18,1230,12,0,1672,29,5,17,0,0,1,19,0,408,1579,21,2,516,21,5144,0,1,1,0,20,0,71,37,0,15,0,17,905,30,1461,8,6,12,0,15,1,0,79585.0"
"Barbican,0,143,152,0,0,135,16,0,5,70,4,1258,0,3,0,2,3,0,15,50,92,87,1,69,41,0,1,12,1,40,6,0,0,25,70,124,159,19,76,0,0,16,140,50,0,0,0,0,7,6,3,0,1,0,38,0,0,0,0,0,1,0,6,1,3,3,1,0,0,9,13,73,0,65,0,204,93,0,657,1,9,59,3,0,6,7,0,29,0,45,70,0,0,0,7,9,0,0,0,0,0,0,0,2,0,5,186,5,0,144,2,21,0,0,0,0,6,0,16,1,0,28,0,0,3,2,691,0,15,4,10,6,2,62,4,2,1033,605,0,3,8,60,21,29,39,0,0,720,0,25,0,0,1,0,22,0,0,0,0,0,0,0,9,0,366,0,17,190,81,0,2,0,64,13,0,2,0,1,3,0,5,0,0,0,7,1,0,0,3,0,0,0,47,24,10,1,22,0,0,0,23,0,0,0,0,0,0,92,47,13,198,0,0,34,11,0,86,0,0,9,30,0,1,1,101,3,0,202,8,0,5,0,0,0,2,0,33,129,6,0,104,4,422,0,0,0,0,2,0,9,8,0,1,0,4,74,4,176,2,1,1,0,4,0,0,10815.0"
"Barking,0,28,55,0,0,16,1,0,0,4,0,177,22,0,0,0,0,894,1,26,131,27,0,8,6,0,0,131,0,6,155,1,0,2,4,157,1153,1134,24,0,0,1,20,7,0,0,0,0,1,1,0,0,0,0,5,0,213,1054,0,0,0,0,1,0,0,6099,0,0,0,1,1,10,95,10,0,13,6,0,40,0,1,4,0,8,1,0,0,3,0,3,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,11,0,0,20,0,1,26,0,0,0,1,0,2,0,0,2,0,0,0,0,43,0,2,0,1,1,0,9,151,70,186,85,1,0,0,19,2,2,235,0,0,85,0,2,0,2,0,0,562,0,0,0,0,0,0,0,1,0,43,0,2,21,5,0,0,0,10,2,0,497,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,4,1,1,0,3,9,0,0,3,0,0,0,13,0,0,13,7,1,28,0,0,79,2,0,3517,0,0,1,9,0,0,0,14,0,0,63,0,0,0,23,6,1449,1619,0,5,18,0,10,6,0,59,0,0,0,0,0,0,786,0,0,0,0,0,10,0,152,0,0,0,0,0,6,0,21801.0"
"Barkingside,0,1,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,4,0,0,0,2,14,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,106,1,0,0,0,0,430,0,0,0,0,38,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,60,3,2,3,0,0,0,0,0,4,0,0,2,0,0,0,662,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,63,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,1,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,47,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,33,0,2154.0"
"Barons Court,33,3,3,3,0,7,2,0,0,49,2,40,3,0,0,0,22,0,2,3,2,16,0,58,3,4,0,0,0,28,0,0,0,2,10,7,6,1,6,0,0,2,18,22,0,0,32,0,5,4,2,0,0,0,15,0,0,0,0,0,89,10,465,10,0,0,54,0,0,14,22,10,0,24,0,28,15,0,9,0,6,4,207,0,186,1,55,8,0,13,111,0,27,0,1793,1,3,1,0,0,0,0,0,0,0,212,13,1,0,33,29,1,0,1,1,0,21,0,3,2,11,4,0,27,2,8,47,0,90,79,2,29,53,34,0,0,23,32,0,9,1,6,31,30,1,0,0,13,0,3,0,0,12,2,1,0,0,10,0,0,0,0,141,0,7,1,4,124,257,4,136,0,54,26,0,0,0,72,10,0,52,102,0,0,5,138,0,0,11,0,0,0,6,2,149,80,109,0,11,0,376,0,0,0,0,21,0,17,43,9,9,60,0,1,8,0,2,0,1,6,11,0,1,1,40,0,0,6,1,98,0,0,0,0,0,0,68,265,0,0,24,14,100,0,0,0,2,127,0,0,5,0,184,0,30,39,60,4,1,4,76,3,0,0,0,7676.0"
"Bayswater,2,2,2,0,0,14,2,0,1,103,1,25,5,0,0,20,0,0,2,1,1,10,0,73,1,0,0,0,0,7,0,0,0,3,9,3,3,0,4,0,0,2,14,13,0,0,2,0,1,1,1,0,0,0,9,0,0,0,0,1,10,1,73,11,0,0,8,0,0,29,46,5,0,14,0,27,32,0,16,0,13,8,32,0,49,1,3,7,0,27,56,0,1,0,92,1,3,2,0,0,0,0,0,0,0,90,24,1,0,26,32,3,0,0,0,0,6,0,1,4,2,4,0,1,5,16,91,0,24,30,1,32,11,20,0,0,16,15,0,20,1,4,34,63,1,0,0,11,0,3,0,0,13,0,0,0,0,1,0,0,0,0,155,0,9,0,1,118,541,0,21,0,32,7,0,0,0,11,21,0,56,5,0,0,11,7,0,0,21,0,0,0,6,3,164,6,29,0,1,0,100,0,0,0,0,3,0,8,11,19,7,3,0,1,2,1,1,0,0,13,7,0,0,0,38,0,0,4,1,5,1,0,0,0,0,0,18,70,1,0,22,29,47,0,1,0,1,20,0,0,11,0,15,0,24,16,66,3,2,8,12,0,1,0,0,3328.0"
"Becontree,0,1,2,0,0,1,0,0,0,0,0,8,1,2018,0,0,0,0,0,1,6,1,0,0,0,0,0,6,0,0,7,0,0,0,0,7,52,51,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,206,1017,0,0,0,0,0,0,0,273,0,0,0,0,0,0,91,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,3,8,4,0,0,0,1,0,0,11,0,0,4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,0,0,158,0,0,0,0,0,0,0,1,0,0,3,0,0,0,22,6,253,73,0,0,1,0,0,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4440.0"
"Belsize Park,0,13,14,0,0,83,97,0,4,56,1,116,33,0,0,2,2,0,0,5,9,31,1,112,4,0,1,1,27,13,1,0,5,20,423,11,15,2,12,0,0,245,54,42,0,0,0,0,2,2,1,0,22,0,33,0,0,0,0,0,1,0,8,1,19,0,1,0,6,7,10,16,0,46,0,329,74,0,99,5,7,46,3,0,8,283,0,47,0,35,114,0,0,0,10,335,0,0,0,0,0,0,0,66,1,7,147,31,0,101,2,17,0,0,0,0,10,0,4,0,0,168,0,0,3,2,547,0,24,4,4,10,1,72,0,0,95,56,0,2,6,12,34,23,4,1,0,66,0,82,0,0,1,0,2,0,0,0,0,0,0,0,12,0,57,0,5,308,65,0,2,0,83,12,0,0,0,1,3,0,8,1,0,0,12,1,0,0,3,0,0,0,38,19,13,1,21,0,0,0,31,0,0,0,0,0,0,26,25,11,28,0,0,3,4,0,8,0,0,7,21,0,0,0,147,3,0,19,49,1,4,0,0,0,0,0,32,125,5,0,168,3,153,0,0,0,0,2,0,1,6,0,2,0,3,39,5,16,1,1,1,0,3,0,1,6249.0"
"Bermondsey,0,76,81,0,0,60,4,0,1,27,7,984,83,5,0,2,1,0,3,0,49,58,0,53,77,0,0,13,0,76,6,0,0,6,16,1271,1165,108,40,0,0,4,110,64,0,0,0,0,14,11,6,0,0,0,33,0,0,0,0,0,0,0,8,0,1,5,1,0,0,3,5,138,0,84,0,47,22,0,153,0,3,14,3,0,8,2,0,16,0,10,91,0,0,0,10,2,0,0,0,0,0,0,0,0,0,6,43,1,0,112,1,5,0,0,0,0,8,0,30,0,0,7,0,0,1,1,161,0,19,2,13,5,1,73,5,2,549,1134,0,1,2,32,16,11,43,0,0,320,1,6,0,0,0,0,160,0,0,0,0,0,0,0,6,0,163,0,32,147,31,0,2,0,83,16,0,5,0,1,1,0,4,1,0,0,6,1,0,0,1,0,0,0,21,6,6,0,28,0,0,0,30,0,0,0,0,0,0,172,61,5,155,0,0,38,21,0,112,0,0,3,39,0,2,3,83,1,0,107,2,1,1,0,0,0,5,0,43,168,1,0,35,2,546,0,0,0,0,2,0,17,3,0,2,0,1,96,2,193,1,0,1,0,1,0,0,10427.0"
"Bethnal Green,0,208,222,0,0,128,8,0,2,35,4,1425,177,31,0,2,1,1,7,57,0,127,1,62,47,0,0,136,0,46,66,0,0,13,35,167,240,142,110,0,0,8,159,56,0,0,0,0,8,7,4,0,0,0,43,0,0,1,0,0,0,0,7,0,2,29,1,0,0,4,6,83,0,74,0,101,46,0,326,0,4,29,3,2,7,4,0,22,0,22,79,0,0,0,8,4,0,0,0,0,0,0,0,1,0,5,92,3,0,163,1,11,0,0,0,0,7,0,18,0,0,14,0,0,2,1,343,0,17,2,12,6,1,70,42,20,1502,685,0,1,4,87,19,14,444,0,0,683,0,12,0,1,1,0,70,0,0,0,0,0,0,0,7,0,347,0,20,171,40,0,2,0,73,14,0,27,0,1,2,0,4,0,0,1,6,1,0,0,2,0,0,0,31,12,7,0,25,3,0,0,26,0,0,0,4,0,0,104,54,7,225,0,0,149,13,0,985,0,0,4,41,0,1,2,114,2,0,293,4,0,2,0,0,1,27,0,38,147,3,3,52,2,477,0,0,0,0,2,0,98,4,0,1,0,2,84,3,286,1,1,1,0,2,2,0,13066.0"
"Blackfriars,1,194,201,0,0,67,16,0,3,131,8,742,92,4,0,8,5,0,15,37,70,0,1,262,35,0,1,16,1,96,8,0,0,16,71,135,195,23,424,0,0,17,187,314,0,0,1,0,17,14,8,0,1,1,163,0,0,0,0,1,2,0,30,2,3,3,3,0,0,16,24,142,0,414,0,206,57,0,170,1,17,36,13,0,32,7,1,79,0,35,430,0,1,0,38,9,1,0,0,0,0,0,0,2,0,23,114,5,0,350,6,13,0,0,0,0,38,0,38,1,1,28,0,1,6,4,425,0,92,8,33,24,3,358,5,2,782,443,0,6,5,432,79,54,51,0,0,355,1,25,0,0,2,0,27,0,0,0,0,0,0,0,28,0,181,0,41,720,152,0,9,0,407,60,0,3,0,5,6,0,19,2,0,0,27,3,0,0,6,0,0,0,67,15,30,2,103,0,0,0,119,0,0,0,0,1,0,236,224,25,117,1,0,45,26,0,114,0,0,17,375,0,2,4,408,2,0,445,8,2,3,0,0,0,3,0,158,611,4,0,171,8,1372,0,0,1,0,8,0,11,14,0,6,0,7,350,12,232,3,2,5,0,3,0,0,16257.0"
"Blackhorse Road,0,2,2,0,0,12,2,2,14,8,0,16,5,0,0,0,0,0,2,1,1,3,0,8,1,0,5,0,0,1,0,0,0,19,8,2,2,0,1,0,0,2,8,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,4,0,23,10,0,14,0,1,318,0,0,1,1,0,3,0,5,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,155,1,0,14,0,28,0,0,0,0,1,0,0,0,0,3,0,0,0,0,78,0,2,0,0,1,0,6,0,0,13,8,0,0,44,1,2,3,1,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,21,9,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,2225,1,0,1,0,0,0,2,0,0,0,0,0,2,2,2,1,4,0,0,0,0,0,1,0,0,1,2,0,0,0,10,1031,0,3,1,0,26,0,0,0,0,0,2,9,5923,0,12,0,13,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,22,0,0,10258.0"
"Bond Street,2,49,52,0,0,170,54,1,8,911,14,631,67,1,0,27,37,0,49,31,32,240,2,0,30,0,1,4,2,163,2,0,0,41,233,77,80,9,88,0,0,55,348,317,0,0,2,0,29,23,14,0,2,1,226,0,0,0,0,5,13,1,97,14,11,1,11,0,0,113,167,121,0,352,0,673,281,0,202,3,117,95,43,0,104,24,5,185,0,240,1396,0,2,0,122,28,4,3,0,0,0,0,0,6,0,113,301,17,0,652,40,34,0,0,0,0,123,0,32,8,2,93,0,2,41,31,1119,0,298,58,28,168,22,498,1,1,352,377,0,38,13,90,549,376,13,0,0,206,1,81,3,0,16,0,11,0,0,1,0,0,0,0,194,0,116,0,35,2933,1052,0,28,1,795,151,0,1,0,15,41,0,130,7,0,0,110,9,0,0,41,0,0,0,125,39,205,12,260,0,1,0,386,0,0,0,0,4,1,201,256,171,180,4,0,12,45,2,29,0,0,115,163,0,4,6,956,5,0,92,27,7,8,0,0,0,1,0,399,1542,9,0,559,56,1167,0,1,4,1,26,0,3,99,0,20,0,47,401,82,60,22,16,16,1,7,0,0,27887.0"
"Borough,0,47,50,0,0,37,2,0,1,19,8,604,51,1,0,1,1,0,2,58,30,41,0,38,0,0,0,4,0,92,2,0,0,4,10,143,131,12,25,0,0,2,67,46,0,0,0,0,16,13,8,0,0,1,24,0,0,0,0,0,0,0,5,0,0,1,1,0,0,2,4,167,0,60,0,30,13,0,94,0,2,8,2,0,6,1,0,11,0,6,65,0,0,0,7,1,0,0,0,0,0,0,0,0,0,4,27,1,0,69,1,3,0,0,0,0,6,0,36,0,0,4,0,0,1,1,99,0,14,1,16,4,0,52,1,1,337,696,0,1,1,19,12,8,13,0,0,197,1,4,0,0,0,0,18,0,0,0,0,0,0,0,4,0,100,0,39,105,22,0,2,0,59,12,0,1,0,1,1,0,3,0,0,0,4,1,0,0,1,0,0,0,13,3,4,0,20,0,0,0,22,0,0,0,0,0,0,106,44,4,95,0,0,11,25,0,28,0,0,2,28,0,2,3,59,0,0,66,1,0,1,0,0,0,1,0,51,119,1,0,25,1,389,0,0,0,0,1,0,3,2,0,1,0,1,68,2,57,0,0,1,0,1,0,0,5341.0"
"Boston Manor,161,0,0,14,0,0,0,0,0,2,0,2,0,0,0,18,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,52,0,0,0,0,0,0,0,1,0,0,0,0,0,433,51,21,8,0,0,2,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,10,0,9,0,6,0,0,1,5,1,21,0,186,0,7,0,0,0,9,2,21,0,0,10,1,0,0,2,1,0,0,92,118,38,1,0,0,0,1,0,0,20,0,0,2,0,4,8,0,1,6,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,28,11,0,0,0,504,0,0,0,0,7,0,0,124,0,6,12,22,6,1,3,1,0,0,0,3,0,0,2,22,0,0,0,103,0,0,1,0,0,0,0,0,10,8,5,0,315,0,17,0,0,0,0,1,0,1,2,0,0,25,0,0,0,0,0,1,3,0,1,0,0,0,2,0,0,0,0,73,0,0,0,0,0,0,3,12,0,0,1,1,5,0,0,0,8,6,0,0,0,0,8,0,3,2,9,0,0,0,3,0,0,0,0,2749.0"
"Bounds Green,0,3,4,0,0,21,3,845,25,14,0,29,8,0,0,0,1,0,3,1,2,5,11,14,1,0,0,0,0,2,0,0,0,33,14,3,4,0,2,0,0,3,14,6,0,0,0,0,0,0,0,73,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,2,0,7,0,41,19,0,25,0,2,565,0,0,1,1,0,6,0,9,14,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,276,1,0,25,0,50,0,0,0,0,1,0,1,0,0,6,0,0,1,0,138,0,3,1,1,1,0,11,0,0,24,14,0,1,217,2,4,6,1,0,0,17,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,130,14,0,1,38,16,0,0,0,11,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,9,231,2,0,3,0,0,0,4,0,0,0,0,0,701,4,4,3,7,0,0,1,0,0,2,0,0,2,3,0,0,0,18,32,0,5,2,0,1032,0,0,0,0,0,4,15,56,0,21,1,23,0,0,0,0,0,0,0,2,0,0,0,1,6,1,4,0,0,0,0,2167,0,0,7246.0"
"Bow Road,0,53,105,0,0,30,2,0,1,8,1,337,42,57,0,0,0,1,2,28,249,52,0,15,11,0,0,0,0,11,122,0,0,3,8,168,266,261,45,0,0,2,38,14,0,0,0,0,2,2,1,0,0,0,10,0,0,1,0,0,0,0,2,0,0,53,0,0,0,1,2,20,0,19,0,24,11,0,77,0,1,7,1,2,2,1,0,5,0,5,19,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,22,1,0,38,0,2,0,0,0,0,2,0,4,0,0,3,0,0,0,0,81,0,4,1,3,1,0,17,43,20,355,162,0,0,1,36,4,3,448,0,0,161,0,3,0,1,0,0,129,0,0,0,0,0,0,0,2,0,82,0,5,40,9,0,0,0,18,3,0,51,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,7,3,2,0,6,3,0,0,6,0,0,0,4,0,0,25,13,2,53,0,0,151,3,0,994,0,0,1,17,0,0,0,27,0,0,121,1,0,1,0,0,2,49,0,9,35,1,3,12,1,113,0,0,0,0,0,0,181,1,0,0,0,0,20,1,289,0,0,0,0,0,2,0,6122.0"
"Brent Cross,0,2,2,0,0,10,12,0,0,7,0,14,4,0,0,0,0,0,69,1,1,4,0,13,0,0,0,0,0,2,0,0,54,2,50,1,2,0,1,0,0,29,6,5,0,0,0,0,0,0,0,0,227,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,59,1,1,2,0,5,0,39,9,0,12,1,1,6,0,0,1,758,0,6,0,4,14,0,0,0,1,125,0,0,0,0,0,0,0,694,0,1,17,4,0,12,0,2,0,0,0,0,1,0,1,0,0,20,0,0,0,0,65,0,3,0,0,1,0,9,0,0,11,7,0,0,1,1,4,3,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,37,8,0,0,0,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,1,0,3,0,0,0,4,0,0,0,0,0,0,3,3,1,3,0,0,0,0,0,1,0,0,1,3,0,0,0,17,0,0,2,6,0,0,0,0,0,0,0,4,15,1,0,20,0,18,0,0,0,0,0,0,0,1,0,0,0,0,5,1,2,0,0,0,0,0,0,0,2633.0"
"Brixton,3,92,98,0,0,72,16,0,2,209,584,1188,100,2,0,33,10,0,15,114,59,226,1,418,185,0,0,8,1,0,4,0,0,12,71,281,258,24,83,0,0,17,150,251,0,0,3,0,1201,961,562,0,1,40,130,0,0,0,0,1,7,1,119,4,3,2,14,0,0,26,38,747,0,331,0,204,65,0,185,1,27,29,53,0,128,7,5,63,0,55,798,0,2,0,150,9,1,1,0,0,0,0,0,2,0,92,91,5,0,280,13,10,0,0,0,0,70,0,332,2,3,28,0,2,9,7,340,0,171,13,71,39,5,286,2,1,663,1369,0,9,4,84,126,86,25,0,0,387,61,25,1,0,5,0,35,0,0,1,0,0,0,0,61,0,196,0,849,890,242,0,35,0,391,754,0,2,0,18,9,0,30,9,0,0,33,12,0,0,9,0,0,0,54,12,65,7,443,0,1,0,475,0,0,18,0,5,0,368,430,39,187,5,0,22,1853,0,55,0,0,26,153,0,159,248,326,2,0,129,8,8,2,0,0,0,1,0,3759,2630,3,0,170,13,2139,0,0,1,0,33,0,6,23,0,25,0,11,383,26,113,5,4,19,1,2,0,0,33323.0"
"Bromley-By-Bow,0,25,50,0,0,14,1,0,0,4,0,161,20,65,0,0,0,1,1,13,119,25,0,7,5,0,0,120,0,5,0,0,0,1,4,80,306,301,22,0,0,1,18,7,0,0,0,0,1,1,0,0,0,0,5,0,0,2,0,0,0,0,1,0,0,61,0,0,0,0,1,9,0,9,0,11,5,0,37,0,1,3,0,2,1,0,0,2,0,3,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,18,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,39,0,2,0,1,1,0,8,40,19,170,77,0,0,0,17,2,2,214,0,0,77,0,1,0,1,0,0,149,0,0,0,0,0,0,0,1,0,39,0,2,19,5,0,0,0,9,2,0,58,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4,1,1,0,3,2,0,0,3,0,0,0,3,0,0,12,6,1,25,0,0,72,1,0,933,0,0,0,8,0,0,0,13,0,0,58,0,0,0,0,0,2,57,0,4,17,0,3,6,0,54,0,0,0,0,0,0,208,0,0,0,0,0,9,0,138,0,0,0,0,0,2,0,4180.0"
"Buckhurst Hill,0,1,2,0,0,1,0,0,0,0,0,6,1,4,4,0,0,0,0,1,4,1,0,0,0,0,0,2,0,0,2,0,0,0,0,3,25,16,1,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,161,0,0,4,1,0,0,0,0,12,0,0,0,0,10,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,106,6,3,664,0,0,1,0,0,8,0,0,3,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,22,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,322,0,0,0,0,0,1,0,0,3,0,0,232,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,16,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,786,0,2796.0"
